0 с,   0.00 м/с
997 с,   30811.56 м/с
998 с,   30817.30 м/с
999 с,   30823.03 м/с
1000 с,   30828.75 м/с
1001 с,   30834.47 м/с
1002 с,   30840.17 м/с
1003 с,   30845.87 м/с
1004 с,   30851.56 м/с
1005 с,   30857.24 м/с
1006 с,   30862.91 м/с
1007 с,   30868.58 м/с
1008 с,   30874.23 м/с
1009 с,   30879.88 м/с
1010 с,   30885.52 м/с
1011 с,   30891.15 м/с
1012 с,   30896.77 м/с
1013 с,   30902.38 м/с
1014 с,   30907.98 м/с
1015 с,   30913.57 м/с
1016 с,   30919.16 м/с
1017 с,   30924.74 м/с
1018 с,   30930.30 м/с
1019 с,   30935.86 м/с
1020 с,   30941.41 м/с
1021 с,   30946.95 м/с
1022 с,   30952.48 м/с
1023 с,   30958.00 м/с
1024 с,   30963.51 м/с
1025 с,   30969.01 м/с
1026 с,   30974.50 м/с
1027 с,   30979.98 м/с
1028 с,   30985.45 м/с
1029 с,   30990.92 м/с
1030 с,   30996.37 м/с
1031 с,   31001.81 м/с
1032 с,   31007.25 м/с
1033 с,   31012.67 м/с
1034 с,   31018.08 м/с
1035 с,   31023.49 м/с
1036 с,   31028.88 м/с
1037 с,   31034.26 м/с
1038 с,   31039.63 м/с
1039 с,   31045.00 м/с
1040 с,   31050.35 м/с
1041 с,   31055.69 м/с
1042 с,   31061.02 м/с
1043 с,   31066.34 м/с
1044 с,   31071.65 м/с
1045 с,   31076.95 м/с
1046 с,   31082.24 м/с
1047 с,   31087.52 м/с
1048 с,   31092.79 м/с
1049 с,   31098.05 м/с
1050 с,   31103.29 м/с
1051 с,   31108.53 м/с
1052 с,   31113.75 м/с
1053 с,   31118.96 м/с
1054 с,   31124.17 м/с
1055 с,   31129.36 м/с
1056 с,   31134.54 м/с
1057 с,   31139.71 м/с
1058 с,   31144.86 м/с
1059 с,   31150.01 м/с
1060 с,   31155.15 м/с
1061 с,   31160.27 м/с
1062 с,   31165.38 м/с
1063 с,   31170.48 м/с
1064 с,   31175.57 м/с
1065 с,   31180.65 м/с
1066 с,   31185.71 м/с
1067 с,   31190.77 м/с
1068 с,   31195.81 м/с
1069 с,   31200.84 м/с
1070 с,   31205.86 м/с
1071 с,   31210.87 м/с
1072 с,   31215.86 м/с
1073 с,   31220.84 м/с
1074 с,   31225.81 м/с
1075 с,   31230.77 м/с
1076 с,   31235.72 м/с
1077 с,   31240.65 м/с
1078 с,   31245.58 м/с
1079 с,   31250.49 м/с
1080 с,   31255.38 м/с
1081 с,   31260.27 м/с
1082 с,   31265.14 м/с
1083 с,   31270.00 м/с
1084 с,   31274.85 м/с
1085 с,   31279.68 м/с
1086 с,   31284.51 м/с
1087 с,   31289.31 м/с
1088 с,   31294.11 м/с
1089 с,   31298.90 м/с
1090 с,   31303.67 м/с
1091 с,   31308.43 м/с
1092 с,   31313.17 м/с
1093 с,   31317.90 м/с
1094 с,   31322.62 м/с
1095 с,   31327.33 м/с
1096 с,   31332.02 м/с
1097 с,   31336.70 м/с
1098 с,   31341.37 м/с
1099 с,   31346.03 м/с
1100 с,   31350.67 м/с
1101 с,   31355.29 м/с
1102 с,   31359.91 м/с
1103 с,   31364.51 м/с
1104 с,   31369.09 м/с
1105 с,   31373.67 м/с
1106 с,   31378.23 м/с
1107 с,   31382.77 м/с
1108 с,   31387.31 м/с
1109 с,   31391.83 м/с
1110 с,   31396.33 м/с
1111 с,   31400.82 м/с
1112 с,   31405.30 м/с
1113 с,   31409.76 м/с
1114 с,   31414.21 м/с
1115 с,   31418.65 м/с
1116 с,   31423.07 м/с
1117 с,   31427.48 м/с
1118 с,   31431.87 м/с
1119 с,   31436.25 м/с
1120 с,   31440.62 м/с
1121 с,   31444.97 м/с
1122 с,   31449.31 м/с
1123 с,   31453.63 м/с
1124 с,   31457.94 м/с
1125 с,   31462.23 м/с
1126 с,   31466.51 м/с
1127 с,   31470.78 м/с
1128 с,   31475.03 м/с
1129 с,   31479.26 м/с
1130 с,   31483.48 м/с
1131 с,   31487.69 м/с
1132 с,   31491.88 м/с
1133 с,   31496.06 м/с
1134 с,   31500.22 м/с
1135 с,   31504.37 м/с
1136 с,   31508.50 м/с
1137 с,   31512.62 м/с
1138 с,   31516.72 м/с
1139 с,   31520.81 м/с
1140 с,   31524.89 м/с
1141 с,   31528.94 м/с
1142 с,   31532.99 м/с
1143 с,   31537.01 м/с
1144 с,   31541.03 м/с
1145 с,   31545.02 м/с
1146 с,   31549.01 м/с
1147 с,   31552.97 м/с
1148 с,   31556.92 м/с
1149 с,   31560.86 м/с
1150 с,   31564.78 м/с
1151 с,   31568.69 м/с
1152 с,   31572.58 м/с
1153 с,   31576.45 м/с
1154 с,   31580.31 м/с
1155 с,   31584.15 м/с
1156 с,   31587.98 м/с
1157 с,   31591.79 м/с
1158 с,   31595.59 м/с
1159 с,   31599.37 м/с
1160 с,   31603.13 м/с
1161 с,   31606.88 м/с
1162 с,   31610.62 м/с
1163 с,   31614.33 м/с
1164 с,   31618.03 м/с
1165 с,   31621.72 м/с
1166 с,   31625.39 м/с
1167 с,   31629.04 м/с
1168 с,   31632.68 м/с
1169 с,   31636.30 м/с
1170 с,   31639.90 м/с
1171 с,   31643.49 м/с
1172 с,   31647.07 м/с
1173 с,   31650.62 м/с
1174 с,   31654.16 м/с
1175 с,   31657.68 м/с
1176 с,   31661.19 м/с
1177 с,   31664.68 м/с
1178 с,   31668.16 м/с
1179 с,   31671.61 м/с
1180 с,   31675.06 м/с
1181 с,   31678.48 м/с
1182 с,   31681.89 м/с
1183 с,   31685.28 м/с
1184 с,   31688.66 м/с
1185 с,   31692.01 м/с
1186 с,   31695.36 м/с
1187 с,   31698.68 м/с
1188 с,   31701.99 м/с
1189 с,   31705.28 м/с
1190 с,   31708.55 м/с
1191 с,   31711.81 м/с
1192 с,   31715.05 м/с
1193 с,   31718.28 м/с
1194 с,   31721.48 м/с
1195 с,   31724.67 м/с
1196 с,   31727.85 м/с
1197 с,   31731.00 м/с
1198 с,   31734.14 м/с
1199 с,   31737.26 м/с
1200 с,   31740.37 м/с
1201 с,   31743.45 м/с
1202 с,   31746.52 м/с
1203 с,   31749.58 м/с
1204 с,   31752.61 м/с
1205 с,   31755.63 м/с
1206 с,   31758.63 м/с
1207 с,   31761.62 м/с
1208 с,   31764.58 м/с
1209 с,   31767.53 м/с
1210 с,   31770.46 м/с
1211 с,   31773.38 м/с
1212 с,   31776.27 м/с
1213 с,   31779.15 м/с
1214 с,   31782.01 м/с
1215 с,   31784.86 м/с
1216 с,   31787.68 м/с
1217 с,   31790.49 м/с
1218 с,   31793.28 м/с
1219 с,   31796.06 м/с
1220 с,   31798.81 м/с
1221 с,   31801.55 м/с
1222 с,   31804.27 м/с
1223 с,   31806.97 м/с
1224 с,   31809.65 м/с
1225 с,   31812.32 м/с
1226 с,   31814.97 м/с
1227 с,   31817.60 м/с
1228 с,   31820.21 м/с
1229 с,   31822.81 м/с
1230 с,   31825.38 м/с
1231 с,   31827.94 м/с
1232 с,   31830.48 м/с
1233 с,   31833.00 м/с
1234 с,   31835.51 м/с
1235 с,   31838.00 м/с
1236 с,   31840.46 м/с
1237 с,   31842.91 м/с
1238 с,   31845.35 м/с
1239 с,   31847.76 м/с
1240 с,   31850.15 м/с
1241 с,   31852.53 м/с
1242 с,   31854.89 м/с
1243 с,   31857.23 м/с
1244 с,   31859.55 м/с
1245 с,   31861.86 м/с
1246 с,   31864.14 м/с
1247 с,   31866.41 м/с
1248 с,   31868.66 м/с
1249 с,   31870.89 м/с
1250 с,   31873.10 м/с
1251 с,   31875.29 м/с
1252 с,   31877.47 м/с
1253 с,   31879.62 м/с
1254 с,   31881.76 м/с
1255 с,   31883.88 м/с
1256 с,   31885.98 м/с
1257 с,   31888.06 м/с
1258 с,   31890.13 м/с
1259 с,   31892.17 м/с
1260 с,   31894.20 м/с
1261 с,   31896.20 м/с
1262 с,   31898.19 м/с
1263 с,   31900.16 м/с
1264 с,   31902.11 м/с
1265 с,   31904.05 м/с
1266 с,   31905.96 м/с
1267 с,   31907.85 м/с
1268 с,   31909.73 м/с
1269 с,   31911.59 м/с
1270 с,   31913.42 м/с
1271 с,   31915.24 м/с
1272 с,   31917.04 м/с
1273 с,   31918.82 м/с
1274 с,   31920.59 м/с
1275 с,   31922.33 м/с
1276 с,   31924.06 м/с
1277 с,   31925.76 м/с
1278 с,   31927.45 м/с
1279 с,   31929.11 м/с
1280 с,   31930.76 м/с
1281 с,   31932.39 м/с
1282 с,   31934.00 м/с
1283 с,   31935.59 м/с
1284 с,   31937.17 м/с
1285 с,   31938.72 м/с
1286 с,   31940.25 м/с
1287 с,   31941.77 м/с
1288 с,   31943.26 м/с
1289 с,   31944.74 м/с
1290 с,   31946.20 м/с
1291 с,   31947.63 м/с
1292 с,   31949.05 м/с
1293 с,   31950.45 м/с
1294 с,   31951.83 м/с
1295 с,   31953.19 м/с
1296 с,   31954.54 м/с
1297 с,   31955.86 м/с
1298 с,   31957.16 м/с
1299 с,   31958.45 м/с
1300 с,   31959.71 м/с
1301 с,   31960.96 м/с
1302 с,   31962.18 м/с
1303 с,   31963.39 м/с
1304 с,   31964.57 м/с
1305 с,   31965.74 м/с
1306 с,   31966.89 м/с
1307 с,   31968.02 м/с
1308 с,   31969.13 м/с
1309 с,   31970.22 м/с
1310 с,   31971.29 м/с
1311 с,   31972.34 м/с
1312 с,   31973.37 м/с
1313 с,   31974.38 м/с
1314 с,   31975.38 м/с
1315 с,   31976.35 м/с
1316 с,   31977.30 м/с
1317 с,   31978.24 м/с
1318 с,   31979.15 м/с
1319 с,   31980.05 м/с
1320 с,   31980.92 м/с
1321 с,   31981.78 м/с
1322 с,   31982.62 м/с
1323 с,   31983.43 м/с
1324 с,   31984.23 м/с
1325 с,   31985.01 м/с
1326 с,   31985.77 м/с
1327 с,   31986.50 м/с
1328 с,   31987.22 м/с
1329 с,   31987.92 м/с
1330 с,   31988.60 м/с
1331 с,   31989.26 м/с
1332 с,   31989.90 м/с
1333 с,   31990.52 м/с
1334 с,   31991.12 м/с
1335 с,   31991.71 м/с
1336 с,   31992.27 м/с
1337 с,   31992.81 м/с
1338 с,   31993.33 м/с
1339 с,   31993.83 м/с
1340 с,   31994.32 м/с
1341 с,   31994.78 м/с
1342 с,   31995.23 м/с
1343 с,   31995.65 м/с
1344 с,   31996.05 м/с
1345 с,   31996.44 м/с
1346 с,   31996.80 м/с
1347 с,   31997.15 м/с
1348 с,   31997.47 м/с
1349 с,   31997.78 м/с
1350 с,   31998.07 м/с
1351 с,   31998.33 м/с
1352 с,   31998.58 м/с
1353 с,   31998.81 м/с
1354 с,   31999.01 м/с
1355 с,   31999.20 м/с
1356 с,   31999.37 м/с
1357 с,   31999.52 м/с
1358 с,   31999.64 м/с
1359 с,   31999.75 м/с
1360 с,   31999.84 м/с
1361 с,   31999.91 м/с
1362 с,   31999.96 м/с
1363 с,   31999.99 м/с
1364 с,   32000.00 м/с
1365 с,   31999.99 м/с
1366 с,   31999.96 м/с
1367 с,   31999.91 м/с
1368 с,   31999.84 м/с
1369 с,   31999.75 м/с
1370 с,   31999.64 м/с
1371 с,   31999.52 м/с
1372 с,   31999.37 м/с
1373 с,   31999.20 м/с
1374 с,   31999.01 м/с
1375 с,   31998.81 м/с
1376 с,   31998.58 м/с
1377 с,   31998.33 м/с
1378 с,   31998.07 м/с
1379 с,   31997.78 м/с
1380 с,   31997.47 м/с
1381 с,   31997.15 м/с
1382 с,   31996.80 м/с
1383 с,   31996.44 м/с
1384 с,   31996.05 м/с
1385 с,   31995.65 м/с
1386 с,   31995.23 м/с
1387 с,   31994.78 м/с
1388 с,   31994.32 м/с
1389 с,   31993.83 м/с
1390 с,   31993.33 м/с
1391 с,   31992.81 м/с
1392 с,   31992.27 м/с
1393 с,   31991.71 м/с
1394 с,   31991.12 м/с
1395 с,   31990.52 м/с
1396 с,   31989.90 м/с
1397 с,   31989.26 м/с
1398 с,   31988.60 м/с
1399 с,   31987.92 м/с
1400 с,   31987.22 м/с
1401 с,   31986.50 м/с
1402 с,   31985.77 м/с
1403 с,   31985.01 м/с
1404 с,   31984.23 м/с
1405 с,   31983.43 м/с
1406 с,   31982.62 м/с
1407 с,   31981.78 м/с
1408 с,   31980.92 м/с
1409 с,   31980.05 м/с
1410 с,   31979.15 м/с
1411 с,   31978.24 м/с
1412 с,   31977.30 м/с
1413 с,   31976.35 м/с
1414 с,   31975.38 м/с
1415 с,   31974.38 м/с
1416 с,   31973.37 м/с
1417 с,   31972.34 м/с
1418 с,   31971.29 м/с
1419 с,   31970.22 м/с
1420 с,   31969.13 м/с
1421 с,   31968.02 м/с
1422 с,   31966.89 м/с
1423 с,   31965.74 м/с
1424 с,   31964.57 м/с
1425 с,   31963.39 м/с
1426 с,   31962.18 м/с
1427 с,   31960.96 м/с
1428 с,   31959.71 м/с
1429 с,   31958.45 м/с
1430 с,   31957.16 м/с
1431 с,   31955.86 м/с
1432 с,   31954.54 м/с
1433 с,   31953.19 м/с
1434 с,   31951.83 м/с
1435 с,   31950.45 м/с
1436 с,   31949.05 м/с
1437 с,   31947.63 м/с
1438 с,   31946.20 м/с
1439 с,   31944.74 м/с
1440 с,   31943.26 м/с
1441 с,   31941.77 м/с
1442 с,   31940.25 м/с
1443 с,   31938.72 м/с
1444 с,   31937.17 м/с
1445 с,   31935.59 м/с
1446 с,   31934.00 м/с
1447 с,   31932.39 м/с
1448 с,   31930.76 м/с
1449 с,   31929.11 м/с
1450 с,   31927.45 м/с
1451 с,   31925.76 м/с
1452 с,   31924.06 м/с
1453 с,   31922.33 м/с
1454 с,   31920.59 м/с
1455 с,   31918.82 м/с
1456 с,   31917.04 м/с
1457 с,   31915.24 м/с
1458 с,   31913.42 м/с
1459 с,   31911.59 м/с
1460 с,   31909.73 м/с
1461 с,   31907.85 м/с
1462 с,   31905.96 м/с
1463 с,   31904.05 м/с
1464 с,   31902.11 м/с
1465 с,   31900.16 м/с
1466 с,   31898.19 м/с
1467 с,   31896.20 м/с
1468 с,   31894.20 м/с
1469 с,   31892.17 м/с
1470 с,   31890.13 м/с
1471 с,   31888.06 м/с
1472 с,   31885.98 м/с
1473 с,   31883.88 м/с
1474 с,   31881.76 м/с
1475 с,   31879.62 м/с
1476 с,   31877.47 м/с
1477 с,   31875.29 м/с
1478 с,   31873.10 м/с
1479 с,   31870.89 м/с
1480 с,   31868.66 м/с
1481 с,   31866.41 м/с
1482 с,   31864.14 м/с
1483 с,   31861.86 м/с
1484 с,   31859.55 м/с
1485 с,   31857.23 м/с
1486 с,   31854.89 м/с
1487 с,   31852.53 м/с
1488 с,   31850.15 м/с
1489 с,   31847.76 м/с
1490 с,   31845.35 м/с
1491 с,   31842.91 м/с
1492 с,   31840.46 м/с
1493 с,   31838.00 м/с
1494 с,   31835.51 м/с
1495 с,   31833.00 м/с
1496 с,   31830.48 м/с
1497 с,   31827.94 м/с
1498 с,   31825.38 м/с
1499 с,   31822.81 м/с
1500 с,   31820.21 м/с
1501 с,   31817.60 м/с
1502 с,   31814.97 м/с
1503 с,   31812.32 м/с
1504 с,   31809.65 м/с
1505 с,   31806.97 м/с
1506 с,   31804.27 м/с
1507 с,   31801.55 м/с
1508 с,   31798.81 м/с
1509 с,   31796.06 м/с
1510 с,   31793.28 м/с
1511 с,   31790.49 м/с
1512 с,   31787.68 м/с
1513 с,   31784.86 м/с
1514 с,   31782.01 м/с
1515 с,   31779.15 м/с
1516 с,   31776.27 м/с
1517 с,   31773.38 м/с
1518 с,   31770.46 м/с
1519 с,   31767.53 м/с
1520 с,   31764.58 м/с
1521 с,   31761.62 м/с
1522 с,   31758.63 м/с
1523 с,   31755.63 м/с
1524 с,   31752.61 м/с
1525 с,   31749.58 м/с
1526 с,   31746.52 м/с
1527 с,   31743.45 м/с
1528 с,   31740.37 м/с
1529 с,   31737.26 м/с
1530 с,   31734.14 м/с
1531 с,   31731.00 м/с
1532 с,   31727.85 м/с
1533 с,   31724.67 м/с
1534 с,   31721.48 м/с
1535 с,   31718.28 м/с
1536 с,   31715.05 м/с
1537 с,   31711.81 м/с
1538 с,   31708.55 м/с
1539 с,   31705.28 м/с
1540 с,   31701.99 м/с
1541 с,   31698.68 м/с
1542 с,   31695.36 м/с
1543 с,   31692.01 м/с
1544 с,   31688.66 м/с
1545 с,   31685.28 м/с
1546 с,   31681.89 м/с
1547 с,   31678.48 м/с
1548 с,   31675.06 м/с
1549 с,   31671.61 м/с
1550 с,   31668.16 м/с
1551 с,   31664.68 м/с
1552 с,   31661.19 м/с
1553 с,   31657.68 м/с
1554 с,   31654.16 м/с
1555 с,   31650.62 м/с
1556 с,   31647.07 м/с
1557 с,   31643.49 м/с
1558 с,   31639.90 м/с
1559 с,   31636.30 м/с
1560 с,   31632.68 м/с
1561 с,   31629.04 м/с
1562 с,   31625.39 м/с
1563 с,   31621.72 м/с
1564 с,   31618.03 м/с
1565 с,   31614.33 м/с
1566 с,   31610.62 м/с
1567 с,   31606.88 м/с
1568 с,   31603.13 м/с
1569 с,   31599.37 м/с
1570 с,   31595.59 м/с
1571 с,   31591.79 м/с
1572 с,   31587.98 м/с
1573 с,   31584.15 м/с
1574 с,   31580.31 м/с
1575 с,   31576.45 м/с
1576 с,   31572.58 м/с
1577 с,   31568.69 м/с
1578 с,   31564.78 м/с
1579 с,   31560.86 м/с
1580 с,   31556.92 м/с
1581 с,   31552.97 м/с
1582 с,   31549.01 м/с
1583 с,   31545.02 м/с
1584 с,   31541.03 м/с
1585 с,   31537.01 м/с
1586 с,   31532.99 м/с
1587 с,   31528.94 м/с
1588 с,   31524.89 м/с
1589 с,   31520.81 м/с
1590 с,   31516.72 м/с
1591 с,   31512.62 м/с
1592 с,   31508.50 м/с
1593 с,   31504.37 м/с
1594 с,   31500.22 м/с
1595 с,   31496.06 м/с
1596 с,   31491.88 м/с
1597 с,   31487.69 м/с
1598 с,   31483.48 м/с
1599 с,   31479.26 м/с
1600 с,   31475.03 м/с
1601 с,   31470.78 м/с
1602 с,   31466.51 м/с
1603 с,   31462.23 м/с
1604 с,   31457.94 м/с
1605 с,   31453.63 м/с
1606 с,   31449.31 м/с
1607 с,   31444.97 м/с
1608 с,   31440.62 м/с
1609 с,   31436.25 м/с
1610 с,   31431.87 м/с
1611 с,   31427.48 м/с
1612 с,   31423.07 м/с
1613 с,   31418.65 м/с
1614 с,   31414.21 м/с
1615 с,   31409.76 м/с
1616 с,   31405.30 м/с
1617 с,   31400.82 м/с
1618 с,   31396.33 м/с
1619 с,   31391.83 м/с
1620 с,   31387.31 м/с
1621 с,   31382.77 м/с
1622 с,   31378.23 м/с
1623 с,   31373.67 м/с
1624 с,   31369.09 м/с
1625 с,   31364.51 м/с
1626 с,   31359.91 м/с
1627 с,   31355.29 м/с
1628 с,   31350.67 м/с
1629 с,   31346.03 м/с
1630 с,   31341.37 м/с
1631 с,   31336.70 м/с
1632 с,   31332.02 м/с
1633 с,   31327.33 м/с
1634 с,   31322.62 м/с
1635 с,   31317.90 м/с
1636 с,   31313.17 м/с
1637 с,   31308.43 м/с
1638 с,   31303.67 м/с
1639 с,   31298.90 м/с
1640 с,   31294.11 м/с
1641 с,   31289.31 м/с
1642 с,   31284.51 м/с
1643 с,   31279.68 м/с
1644 с,   31274.85 м/с
1645 с,   31270.00 м/с
1646 с,   31265.14 м/с
1647 с,   31260.27 м/с
1648 с,   31255.38 м/с
1649 с,   31250.49 м/с
1650 с,   31245.58 м/с
1651 с,   31240.65 м/с
1652 с,   31235.72 м/с
1653 с,   31230.77 м/с
1654 с,   31225.81 м/с
1655 с,   31220.84 м/с
1656 с,   31215.86 м/с
1657 с,   31210.87 м/с
1658 с,   31205.86 м/с
1659 с,   31200.84 м/с
1660 с,   31195.81 м/с
1661 с,   31190.77 м/с
1662 с,   31185.71 м/с
1663 с,   31180.65 м/с
1664 с,   31175.57 м/с
1665 с,   31170.48 м/с
1666 с,   31165.38 м/с
1667 с,   31160.27 м/с
1668 с,   31155.15 м/с
1669 с,   31150.01 м/с
1670 с,   31144.86 м/с
1671 с,   31139.71 м/с
1672 с,   31134.54 м/с
1673 с,   31129.36 м/с
1674 с,   31124.17 м/с
1675 с,   31118.96 м/с
1676 с,   31113.75 м/с
1677 с,   31108.53 м/с
1678 с,   31103.29 м/с
1679 с,   31098.05 м/с
1680 с,   31092.79 м/с
1681 с,   31087.52 м/с
1682 с,   31082.24 м/с
1683 с,   31076.95 м/с
1684 с,   31071.65 м/с
1685 с,   31066.34 м/с
1686 с,   31061.02 м/с
1687 с,   31055.69 м/с
1688 с,   31050.35 м/с
1689 с,   31045.00 м/с
1690 с,   31039.63 м/с
1691 с,   31034.26 м/с
1692 с,   31028.88 м/с
1693 с,   31023.49 м/с
1694 с,   31018.08 м/с
1695 с,   31012.67 м/с
1696 с,   31007.25 м/с
1697 с,   31001.81 м/с
1698 с,   30996.37 м/с
1699 с,   30990.92 м/с
1700 с,   30985.45 м/с
1701 с,   30979.98 м/с
1702 с,   30974.50 м/с
1703 с,   30969.01 м/с
1704 с,   30963.51 м/с
1705 с,   30958.00 м/с
1706 с,   30952.48 м/с
1707 с,   30946.95 м/с
1708 с,   30941.41 м/с
1709 с,   30935.86 м/с
1710 с,   30930.30 м/с
1711 с,   30924.74 м/с
1712 с,   30919.16 м/с
1713 с,   30913.57 м/с
1714 с,   30907.98 м/с
1715 с,   30902.38 м/с
1716 с,   30896.77 м/с
1717 с,   30891.15 м/с
1718 с,   30885.52 м/с
1719 с,   30879.88 м/с
